Date,AMD,BA,DD,GOOG,INTC,MRK,NKE,PFE,VZ
2012-12-31,,,,,,,,,
2013-01-02,-0.0513833992095,-0.022187613656,-0.0194026278806,-0.0219426106619,-0.0355471160718,-0.00967588476422,-0.00462964077164,-0.0320339486017,-0.0225886699428
2013-01-03,0.0160642570281,-0.00516330493008,0.0128062881738,-0.000580409408746,0.00281422006043,-0.0233877092013,-0.0101202892373,0.00232106694698,0.00476620953556
2013-01-04,-0.03861003861,-0.00283179054076,-0.00962161138883,-0.0193774560824,0.00756143766896,0.00857757295325,-0.00964452060577,-0.00423725150277,-0.00541756049002
2013-01-07,-0.0299625468165,0.0204913419397,-0.00152844058999,0.00438240371206,-0.00423531426407,-0.00356121029291,-0.00151052532492,-0.000769831906997,-0.00872675164334
2013-01-08,0.0,0.0269796274445,-0.00542884203514,0.00197743922591,0.00758653475454,-0.00142250006182,0.0106869554707,-0.00153733974011,0.0249419509666
2013-01-09,0.0152091254753,-0.0342626972646,-0.00839790556038,-0.00653010502866,-0.0167832441885,-0.00962666742305,-0.000953258083099,-0.0170003226153,0.0023255505579
2013-01-10,0.00381679389313,-0.00428063430197,0.00519473610133,-0.00453150583815,-0.0160550031759,-0.00444129293467,-0.00190292777295,-0.0108371125101,-0.0135352162342
2013-01-11,-0.0187265917603,0.0256784521324,0.00108337060256,0.00201354069234,-0.00909093535034,-0.0104094659594,-0.0103577949041,0.00904979471211,0.00669747398402
2013-01-14,0.0113636363636,-0.0181580617404,-0.00259340123823,0.0231455248127,0.0,-0.00253807276283,-0.001692070992,-0.00822734529909,0.0166705494737
2013-01-15,-0.0149253731343,-0.00506887545043,0.00043244124736,-0.00231751950346,0.00548448687035,0.0109633970091,-0.00838926252547,0.00450781515697,0.0147724567961
2013-01-16,-0.0147058823529,0.034974530053,0.006090851741,0.0136188227509,-0.0104025652891,0.00775735737064,-0.00167502657743,0.00037580292418,0.0110817302534
2013-01-17,-0.00729927007299,-0.0122243739228,-0.00841239645022,0.00544056327715,-0.0251322954192,-0.00491226260923,0.00467461051328,-0.00819974672754,-0.0147164356523
2013-01-18,0.113821138211,0.00293179388413,-0.0134070861494,0.00966625774231,0.0672941579399,-0.0053513250158,0.00356539889124,0.0109268609226,-0.00963797013681
2013-01-22,0.00408163265306,0.0118661867436,-0.0173567223159,0.00233334131052,0.00377893287448,-0.00509262160233,-0.00355273198456,-0.00524735344128,-0.00931528040192
2013-01-23,-0.102564102564,-0.00174986189854,0.00673683365611,-0.0520971435768,0.00284221545247,0.0088743920688,0.00734601411847,0.00112575857458,0.00350543195054
2013-01-24,-0.0215053763441,-0.0136749691519,-0.0118576616806,-0.0168520665956,0.00763723206241,-0.00418604224436,-0.0142963256661,-0.00744883441018,0.00469595631226
2013-01-25,-0.0210526315789,0.00386513948485,-0.00537979066723,0.000716547811195,-0.000477012878124,-0.0105844432486,-0.0304230338946,-0.00555553740534,-0.00187479654151
2013-01-28,0.0106382978723,0.0139189010503,0.00373832183345,0.00391618034143,-0.0042755548974,0.0123456706797,0.0192660436348,0.00596123785108,-0.00233813672813
